Sentiment,Text,Clean_Text,Predicted_Sentiment
Positive, اربد فيها جامعات اكثر من عمان ... وفيها قد عمان ونص لعيبه المنتخب منها ... و 80 % من مطربين الاردن منها,اربد فيها جامعات اكثر من عمان  وفيها قد عمان ونص لعيبه المنتخب منها  و   من مطربين الاردن منها,Positive
Negative, الحلو انكم بتحكوا على اساس انو الاردن ما فيه فساد سرقات,الحلو انكم بتحكوا على اساس انو الاردن ما فيه فساد سرقات,Negative
Positive, كله رائع بجد ربنا يكرمك,كله رائع بجد ربنا يكرمك,Positive
Negative, لسانك قذر يا قمامه,لسانك قذر يا قمامه,Negative
Negative,​انا داشره وغير متزوجه ولدي علاقات مشبوه واحشش واحيانا اهرب مخدرات و اجيد التسليك احب ان انكب نفسي وعلاقتي بالمنزل متوتره جد,​انا داشره وغير متزوجه ولدي علاقات مشبوه واحشش واحيانا اهرب مخدرات و اجيد التسليك احب ان انكب نفسي وعلاقتي بالمنزل متوتره جد,Negative
Positive,ابشرك فيه تحسن ولله الحمد باذن الله يرجع قريبا,ابشرك فيه تحسن ولله الحمد باذن الله يرجع قريبا,Positive
Negative,ابو الشباب راعي العود ليش ماوزنه في البيت غباء,ابو الشباب راعي العود ليش ماوزنه في البيت غباء,Negative
Negative,ابو معيتق قطع اوتار العود وقال السلام عليكم,ابو معيتق قطع اوتار العود وقال السلام عليكم,Negative
Positive,اتحزن فان الله يدافع عنك والملائكه تستغفر لك و المؤمنون يشركونك في دعائهم كل صلاه  و النبي صلى الله عليه سلم يشفع و القران يعدك وعدا حسنا  و فوق هذا رحمه ارحم الراحمين,اتحزن فان الله يدافع عنك والملائكه تستغفر لك و المؤمنون يشركونك في دعائهم كل صلاه  و النبي صلى الله عليه سلم يشفع و القران يعدك وعدا حسنا  و فوق هذا رحمه ارحم الراحمين,Positive
Positive,اترك ما تهوى لاجل من تخشى,اترك ما تهوى لاجل من تخشى,Positive
Negative,اتصور لو ظليت ما اتعلق احسن لانه تعليقاتك مقرفه,اتصور لو ظليت ما اتعلق احسن لانه تعليقاتك مقرفه,Negative
Negative,اتفه على هيك برنامج عالمي,اتفه على هيك برنامج عالمي,Negative
Negative,اتقوا الله فينا بكفي رفع اسعار الرواتب بالحضيض,اتقوا الله فينا بكفي رفع اسعار الرواتب بالحضيض,Negative
Negative,اجتماع حواء اكيد في خرفنه ,اجتماع حواء اكيد في خرفنه,Negative
Negative,اجل الاخير واضح انو بيمثل وتمثيلو خام هو والا معو,اجل الاخير واضح انو بيمثل وتمثيلو خام هو والا معو,Negative
Positive,احب الله تعالى و رسوله الكريم,احب الله تعالى و رسوله الكريم,Positive
Negative,احتمال ما يشارك الليو البايخ,احتمال ما يشارك الليو البايخ,Negative
Negative,احذفه لاني بجلس احش فيهم لمين اكفر,احذفه لاني بجلس احش فيهم لمين اكفر,Negative
Negative,احس انه يفطر حشيش,احس انه يفطر حشيش,Negative
Positive,احسن اظن بالله وتوكل عليه وحده,احسن اظن بالله وتوكل عليه وحده,Positive
Positive,احسن شيء العمل الذي يؤدي للاستمراريه,احسن شيء العمل الذي يؤدي للاستمراريه,Positive
Positive,احسنت  وصفت ما يدور او يجول في راس كل شاب ملتزم كل فتاه عفيفه نقيه تقيه,احسنت  وصفت ما يدور او يجول في راس كل شاب ملتزم كل فتاه عفيفه نقيه تقيه,Positive
Positive,احسنت كلام دقيق جدا,احسنت كلام دقيق جدا,Positive
Positive,احسنوا الظن وثقوا بما عند الله وتوكلوا عليه لا تفسد عقلك بالتشاؤم ,احسنوا الظن وثقوا بما عند الله وتوكلوا عليه لا تفسد عقلك بالتشاؤم,Positive
Negative,احقر من هيك خيانه ما في,احقر من هيك خيانه ما في,Negative
Positive,احلى اشي الواحد يوكل بدون ما يطبخ,احلى اشي الواحد يوكل بدون ما يطبخ,Positive
Positive,احلى اشي في الحياه الاستقرار مع زوج صالح,احلى اشي في الحياه الاستقرار مع زوج صالح,Positive
Positive,احلى شىء النهايه الباقيه صح كلامك,احلى شىء النهايه الباقيه صح كلامك,Positive
Positive,احلى صباح من احلى شيخ في العالم,احلى صباح من احلى شيخ في العالم,Positive
Negative,احمد الله تعالى ان اولادي لايدرسون في مدارس الاردن.,احمد الله تعالى ان اولادي لايدرسون في مدارس الاردن,Positive
Positive,احيانا الوحده تزيل بعضا من الهموم,احيانا الوحده تزيل بعضا من الهموم,Positive
Positive,احيانا يكون الفشل دافع للنجاح,احيانا يكون الفشل دافع للنجاح,Positive
Negative,اخ يا بطني عورني من الضحكك,اخ يا بطني عورني من الضحكك,Negative
Negative,اخبار مسخره,اخبار مسخره,Negative
Negative,اخر همي اني اتناقش مع اي كائن حي اواتجادل بذات اذاكان عقيم فكريا,اخر همي اني اتناقش مع اي كائن حي اواتجادل بذات اذاكان عقيم فكريا,Negative
Negative,اخر واحد اش فيه مجنون المفرووض اللجنه تمنع المجانين,اخر واحد اش فيه مجنون المفرووض اللجنه تمنع المجانين,Negative
Negative,اخر واحد مهستر,اخر واحد مهستر,Negative
Negative,اخرس صحيح ما تفهم,اخرس صحيح ما تفهم,Negative
Positive,ادعي من الله ان يقوني علي طاعته,ادعي من الله ان يقوني علي طاعته,Positive
Positive,اذا اردت ان يفتح الله عليك فالزم هذا الدعاء البسيط  اللهم اجعل اﻷخره همي ,اذا اردت ان يفتح الله عليك فالزم هذا الدعاء البسيط  اللهم اجعل اﻷخره همي,Positive
Positive,اذا استعنت بالله وتوكلت عليه ونيتك كانت صادقه سوف يقف الله بجوارك ولن يخزلك ابدا ?احبك ربى,اذا استعنت بالله وتوكلت عليه ونيتك كانت صادقه سوف يقف الله بجوارك ولن يخزلك ابدا احبك ربى,Positive
Negative,اذا الخبر صحيح انا اول شخص بطالب بالهجره لاي دوله خليجيه او اوروبيه او حتى اسرائيل,اذا الخبر صحيح انا اول شخص بطالب بالهجره لاي دوله خليجيه او اوروبيه او حتى اسرائيل,Negative
Positive,اذا شعرت بشيء من حالات الاحباط والملل فجرّب العمل التطوعي,اذا شعرت بشيء من حالات الاحباط والملل فجرب العمل التطوعي,Positive
Positive,اذا غلبك امر وعجزت عن التعامل معه فكرر يا حي يا قيوم برحمتك استغيث,اذا غلبك امر وعجزت عن التعامل معه فكرر يا حي يا قيوم برحمتك استغيث,Positive
Negative,اذا فكرت مره تخسر اصحابك يا ليت تخسّرهم على احد يستاهل، صح الحياه تعطيك ميه حُب بس الحياه ما تهديك اصّحاب مرتيّن,اذا فكرت مره تخسر اصحابك يا ليت تخسرهم على احد يستاهل، صح الحياه تعطيك ميه حب بس الحياه ما تهديك اصحاب مرتين,Positive
Negative,اذا كان المدير يخاف من معلم مبدع وكان زملاء العمل يحاربون هذا المعلم فهم في الحقيقه ينتقصون من حظ طلابه,اذا كان المدير يخاف من معلم مبدع وكان زملاء العمل يحاربون هذا المعلم فهم في الحقيقه ينتقصون من حظ طلابه,Negative
Negative,اذا كان حالك احسن من حالو دوس لايك وقول سبحان الله,اذا كان حالك احسن من حالو دوس لايك وقول سبحان الله,Negative
Negative,اذا كنّا بالفعل على موعد مع رفع لاسعار الخبز كما يشاع، فالاولى بالحكومه اولا ان تقوم بترشيد الدعم بحيث يذهب فقط لمن يستحقه!,اذا كنا بالفعل على موعد مع رفع لاسعار الخبز كما يشاع، فالاولى بالحكومه اولا ان تقوم بترشيد الدعم بحيث يذهب فقط لمن يستحقه,Negative
Positive,اذا لم تقل لا للظلم فسيستمر الى الابد,اذا لم تقل لا للظلم فسيستمر الى الابد,Positive
Negative,اذا مرتك بتعمل هيك يا ادمن لا تفكر كل الرجال مثلك تفي عليك,اذا مرتك بتعمل هيك يا ادمن لا تفكر كل الرجال مثلك تفي عليك,Negative
Positive,ارجوك يا استاذنا الفاضل ادعيلي بالنجاح في مسابقه المجستير العام القادم والشفاء بارك الله فيك,ارجوك يا استاذنا الفاضل ادعيلي بالنجاح في مسابقه المجستير العام القادم والشفاء بارك الله فيك,Positive
Negative,ارحمونا صرنا نصف السياره نطلع بالباص حرام عليكم,ارحمونا صرنا نصف السياره نطلع بالباص حرام عليكم,Negative
Negative,ارحمونا من الجوكر,ارحمونا من الجوكر,Negative
Positive,اساس الاصلاح واهم مرتكزاته المعلم داخل غرفه الصف مع طلابه وتلاميذه والاعتماد عليه بالتنفيذ لخطط واستراتيجيات عليا,اساس الاصلاح واهم مرتكزاته المعلم داخل غرفه الصف مع طلابه وتلاميذه والاعتماد عليه بالتنفيذ لخطط واستراتيجيات عليا,Positive
Positive,اسال الله ان يرزقني من يدعو لي في ظهر الغيب,اسال الله ان يرزقني من يدعو لي في ظهر الغيب,Positive
Positive,اسال الله عزوجل له الثبات,اسال الله عزوجل له الثبات,Positive
Positive,اسال الله في علاه ان يحفظكم بما يحفظ به عباده الصالحون,اسال الله في علاه ان يحفظكم بما يحفظ به عباده الصالحون,Positive
Positive,اسال الله لك الاخلاص يا حبيبنا و اشتاق والله للصلاه معكم واسال الكريم ان يعيدكم الى منبركم كل عام وانت في خير وبخير,اسال الله لك الاخلاص يا حبيبنا و اشتاق والله للصلاه معكم واسال الكريم ان يعيدكم الى منبركم كل عام وانت في خير وبخير,Positive
